UserId,TravelMode,Attraction,Type,Rating_Level,Rating
48535,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
79458,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
58461,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
85351,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
87932,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
47662,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
6464,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
54547,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
48254,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
31313,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
64200,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
47878,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
76383,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
69047,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
4704,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
60786,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
11567,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
9721,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
81917,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
74047,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
35064,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
16210,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
34475,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
35014,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
32271,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
51045,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
61162,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,2
82738,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
48073,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
31427,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
30811,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
66675,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
44748,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
18295,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
37703,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
3850,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
61329,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
18016,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
742,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
71542,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
57489,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
22601,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
87646,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
57409,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
75883,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
35029,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
60491,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
22981,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
34788,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
8357,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
25551,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
46084,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
81818,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
10917,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
9849,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
30762,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
33532,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
20406,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
67711,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
54951,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
1258,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
80378,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
16901,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
27887,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
26893,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
6137,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
52293,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
68257,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
43688,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
37159,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
